iter	Passed	Remaining
0	137	137039
1	137	68687
2	138	45895
3	138	34491
4	138	27651
5	139	23086
6	139	19827
7	140	17385
8	140	15485
9	141	13964
10	141	12726
11	142	11691
12	142	10814
13	142	10061
14	143	9411
15	143	8839
16	144	8335
17	144	7887
18	144	7485
19	145	7123
20	145	6796
21	146	6499
22	146	6227
23	147	5979
24	147	5752
25	147	5542
26	148	5346
27	148	5165
28	149	4995
29	149	4836
30	150	4689
31	150	4550
32	150	4419
33	151	4296
34	151	4180
35	152	4071
36	152	3967
37	152	3869
38	153	3777
39	153	3689
40	154	3606
41	154	3527
42	155	3450
43	155	3377
44	155	3307
45	156	3240
46	156	3176
47	157	3115
48	157	3056
49	157	3000
50	158	2946
51	158	2894
52	159	2844
53	159	2796
54	160	2750
55	160	2705
56	160	2661
57	161	2619
58	161	2579
59	162	2539
60	162	2501
61	162	2465
62	163	2429
63	163	2394
64	164	2361
65	164	2328
66	164	2297
67	165	2267
68	166	2240
69	166	2212
70	166	2184
71	167	2157
72	167	2130
73	168	2105
74	168	2080
75	169	2055
76	169	2031
77	169	2008
78	170	1985
79	170	1963
80	171	1941
81	171	1921
82	171	1898
83	172	1879
84	172	1860
85	173	1840
86	173	1821
87	174	1803
88	174	1785
89	174	1767
90	175	1750
91	175	1733
92	176	1717
93	176	1701
94	176	1685
95	177	1669
96	177	1654
97	178	1640
98	178	1626
99	179	1612
100	179	1598
101	180	1585
102	180	1572
103	181	1559
104	181	1546
105	181	1534
106	182	1521
107	182	1509
108	183	1496
109	183	1484
110	183	1473
111	184	1462
112	184	1450
113	185	1439
114	185	1428
115	186	1417
116	186	1406
117	186	1396
118	187	1385
119	187	1375
120	187	1365
121	188	1355
122	188	1345
123	189	1335
124	189	1326
125	189	1317
126	190	1308
127	190	1299
128	191	1291
129	191	1282
130	192	1273
131	192	1265
132	192	1257
133	193	1248
134	193	1240
135	194	1232
136	194	1224
137	194	1217
138	195	1209
139	195	1201
140	196	1194
141	196	1186
142	196	1179
143	197	1172
144	197	1165
145	198	1158
146	198	1151
147	198	1144
148	199	1138
149	199	1131
150	200	1125
151	200	1118
152	200	1112
153	201	1105
154	201	1099
155	202	1093
156	202	1088
157	203	1082
158	203	1077
159	204	1071
160	204	1064
161	204	1059
162	205	1053
163	205	1047
164	205	1042
165	206	1036
166	206	1031
167	207	1026
168	207	1020
169	207	1015
170	208	1010
171	208	1005
172	209	1000
173	209	995
174	210	990
175	210	986
176	211	981
177	211	976
178	211	971
179	212	966
180	212	962
181	213	957
182	213	953
183	213	948
184	214	943
185	214	939
186	215	935
187	215	931
188	215	926
189	216	922
190	216	918
191	217	914
192	217	910
193	218	906
194	218	901
195	218	898
196	219	894
197	219	890
198	220	886
199	220	882
200	221	879
201	221	875
202	222	872
203	222	869
204	223	865
205	223	861
206	224	858
207	224	854
208	224	851
209	225	847
210	225	844
211	226	840
212	226	837
213	227	834
214	227	830
215	227	827
216	228	824
217	228	820
218	229	817
219	229	814
220	230	810
221	230	807
222	230	804
223	231	801
224	231	797
225	232	794
226	232	791
227	232	788
228	233	785
229	233	782
230	234	779
231	234	776
232	235	773
233	235	770
234	235	767
235	236	764
236	236	761
237	237	758
238	237	756
239	237	753
240	238	750
241	238	747
242	239	744
243	239	741
244	239	739
245	240	736
246	240	734
247	241	731
248	241	728
