iter	Passed	Remaining
0	0	69
1	1	64
2	1	63
3	2	58
4	3	59
5	3	59
6	4	57
7	5	57
8	5	57
9	6	56
10	6	56
11	7	55
12	8	54
13	8	54
14	9	53
15	10	52
16	10	52
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	48
23	15	47
24	15	46
25	15	45
26	16	44
27	16	43
28	17	42
29	17	41
30	18	40
31	18	39
32	18	38
33	19	37
34	19	36
35	20	35
36	20	35
37	21	34
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	29
44	23	29
45	24	28
46	24	27
47	25	27
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
